smiles,smiles,ratio,value
C[N+](C)(C)CCO.[Cl-],CCCCC(=O)O,0.33:0.67,22
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCCCCCCCCCCCCCCCCO,0.40:0.60,39.85
C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.71:0.29,20
C[N+](C)(C)CCO.[Cl-],C(CO)N,0.13:0.88,-10
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,NC(=O)C(F)(F)F,1:1,114.43
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CC#N)C#N,0.11:0.89,4
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.30:0.70,35.04
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,167:833,-17.55
CCCCCCCCCC(=O)O,C1=CC=C(C=C1)CCC(=O)O,0.60:0.40,14.94
C(#N)[S-].[K+],CC(=O)N,0.33:0.67,60.25
C[N+](C)(C)CCO.[Cl-],C1=CC(=CC=C1C(=O)O)O,0.67:0.33,87
C[N+](C)(C)CCO.[Cl-],C(COCCOCCO)O,0.33:0.67,-12.69
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,CC1=CC(=C(C=C1)C(C)C)O,0.80:0.20,40.62
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:9,24.35
C(#N)[S-].[NH4+],CC(=O)N,0.40:0.60,23.85
C(#N)[S-].[K+],C(C(CO)O)O,0.40:0.60,9.45
CC[NH2+]C.[Br-],C(C(CO)O)O,0.29:0.71,-10
C[N+](C)(C)CCO.[Cl-],C(CO)O,0.36:0.64,4.15
C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)Cl,0.40:0.60,-56
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,0.29:0.71,55.6
C[N+](C)(C)CCO.[Cl-],C(C(C(C(CO)O)O)O)O,0.33:0.67,7
C[N+](C)(C)CCO.[Cl-],C(CO)O,0.33:0.67,-36.98
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.50:0.50,27.97
C1CC(NC1)C(=O)O,C(COCCO)O,0.25:0.75,-49
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,0.25:0.75,-31.79
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,OCCO,1:3,47.91
C(#N)[S-].[K+],CC(=O)N,0.67:0.33,141.992
O.O.O.O.O.O.Cl[Mg]Cl,C[N+](C)(C)CCO.[Cl-],0.67:0.33,10
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NC(=O)C(F)(F)F,1:8,-69.29
CC[NH2+]C.[Br-],C(C(CO)O)O,0.60:0.40,-5
C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.40:0.60,36
CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,0.10:0.90,31.64
C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(C(CO)O)O,0.06:0.94,-22
C[N+](C)(C)CC(=O)[O-],C(=O)(N)N,0.80:0.20,217.25
C[N+](C)(C)CC(=O)[O-],CCCCCCCCCCCCCCCCCCO,0.40:0.60,71.05
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(C(C(=O)O)N)C(=O)O,0.08:0.92,31.78
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CC#N)C#N,0.09:0.91,14
C[N+](C)(C)CCO.[Cl-],COC1=C(C=CC(=C1)C=O)O,0.33:0.67,17
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,CC1=CC(=C(C=C1)C(C)C)O,0.50:0.50,6.47
C[N+](C)(C)CCO.[Cl-],C1=CC=C(C(=C1)C(=O)O)O,0.60:0.40,120.45
CC1CCC(C(C1)O)C(C)C,CC(C1CCCCC1)C(=O)O,0.70:0.30,16.04
CCCCCCCCCC(=O)O,C1=CC=C(C=C1)CCC(=O)O,0.40:0.60,22.63
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,0.20:0.80,-49.35
C[N+](C)(C)CCO.[Cl-],C1=CC(=C(C=C1C=CC(=O)O)O)O,0.67:0.33,67
Cl[Zn]Cl,C[N+](C)(C)CCO.[Cl-],0.50:0.50,41.62
CC1CCC(C(C1)O)C(C)C,CC1=CC(=C(C=C1)C(C)C)O,0.40:0.60,5.15
CCCCCCCCCC(=O)O,CCCCCCCCCCCC(=O)O,0.80:0.20,25
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.60:0.40,80.03
C[N+](C)(C)CCO.[Cl-],C(CCCC(=O)O)CCC(=O)O,0.50:0.50,90
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.33:0.67,54.7
